Subject,Run,Dict_Key,Acc_Diff_Mean,Acc_Diff_Median,Acc_Diff_Std,Box_Diff_Mean,Box_Diff_Median,Box_Diff_Std
X51231,2,"(1, 3)",-0.1408845434593692,-0.009869447110066043,0.22939724931832745,0.27098429994657636,0.27098429994657636,0.2130277999676764
X51231,2,"(1, 4)",0.09907696851912984,0.09907696851912984,0.0,,,
X51231,2,"(2, 1)",-0.6432005789732247,-0.6432005789732247,0.35132095187262263,-0.4345490999985486,-0.4345490999985486,0.48759590019471943
X51231,2,"(2, 2)",-0.10299137439661651,-0.07892700952849785,0.15404351365928323,-0.03541001994162798,-0.04200779995881021,0.104865989472979
X51231,2,"(2, 4)",,,,,,
X51231,2,"(3, 1)",-0.8113818776711682,-0.8113818776711682,0.0,,,
X51231,2,"(3, 2)",-0.2990264038545796,-0.31539169686958746,0.0551499487897258,-0.02524777496000752,-0.08548849984072149,0.18708615470455947
X51231,2,"(3, 3)",0.20465266659812786,0.20465266659812786,0.11057223255705317,0.2968385497806594,0.2968385497806594,0.20510164985898882
X51231,2,"(3, 4)",-0.090624136976728,-0.16038355058152287,0.10162966803299746,0.036739900009706616,0.03635700000450015,0.019664693796459843
X51231,2,"(4, 1)",-0.12299133560397135,-0.12299133560397135,0.0,-0.16292109992355108,-0.16292109992355108,0.0
X51231,2,"(4, 2)",-0.1266994933942385,-0.11936058086525986,0.1556319653331127,0.08801139984279871,0.08801139984279871,0.0
X51231,2,"(4, 3)",0.4675691135558583,0.44911578946518405,0.21097422135233626,-0.01299939991440624,-0.01299939991440624,0.17497879976872355
X51231,2,"(4, 4)",,,,,,
Jul_13,1,"(1, 1)",-0.054792242244691515,-0.05513850472452114,0.024111395525041154,0.015047500084619969,0.015047500084619969,0.0
Jul_13,1,"(1, 2)",-0.06345107433035223,-0.07107876411372371,0.16151319203240194,-0.01202829999383539,0.014889500045683235,0.056445909126634074
Jul_13,1,"(1, 3)",0.0015899363190415405,0.006196454055757694,0.06209070665327846,0.06358236666225518,0.06292419997043908,0.058740485236783935
Jul_13,1,"(1, 4)",-0.07677517823120773,-0.13972161777836595,0.18900899054152148,0.2219770000083372,0.2219770000083372,0.0
Jul_13,1,"(2, 1)",-0.004502521117147644,0.005859321270589135,0.02517446036270315,0.01935386665475865,0.046034099999815226,0.04059941382634773
Jul_13,1,"(2, 2)",-0.0308942182283167,-0.03361363862587116,0.08304047212082762,-0.007782808325525063,0.0033833500056061894,0.07106589588550098
